Symbol	Description
00096.HK	Wing Lung Bank Ltd
00097.HK	Henderson Investment Ltd
00098.HK	Xingfa Aluminium Holdings Ltd
00099.HK	Wong's International (Holdings) Ltd
00100.HK	Clear Media Ltd
00101.HK	Hang Lung Properties Ltd
00102.HK	Arnhold Holdings Ltd
00103.HK	Shougang Concord Century Holdings Ltd
00104.HK	Asia Commercial Holdings Ltd
00105.HK	Associated International Hotels Ltd
00106.HK	Shenzhen High-Tech Holdings Ltd
00107.HK	Sichuan Expressway Co. Ltd
00108.HK	Buildmore International Ltd
00109.HK	Wonderful World Holdings Ltd
00110.HK	Fortune Telecom Holdings Ltd
00111.HK	Hantec Investment Holdings Ltd
00112.HK	Chi Cheung Investment Co. Ltd
00113.HK	Dickson Concepts (International) Ltd
00114.HK	Herald Holdings Ltd
00115.HK	Grand Field Group Holdings Ltd
00116.HK	Chow Sang Sang Holdings International Ltd
00117.HK	Eyang Holdings Group
00118.HK	Cosmos Machinery Enterprises Ltd
00119.HK	Poly (Hong Kong) Investments Ltd
00120.HK	Cosmopolitan International Holdings Ltd
00121.HK	Chia Tai Enterprises International Ltd
00122.HK	Crocodile Garments Ltd
00123.HK	Yuexiu Property
00124.HK	Kingway Brewery Holdings Ltd
00125.HK	Sun Hing Vision Group Holdings Ltd
00126.HK	Tak Sing Alliance Holdings Ltd
00127.HK	Chinese Estates Holdings Ltd
00128.HK	ENM Holdings Ltd
00129.HK	Asia Standard International Group Ltd
00130.HK	Moiselle International Holdings Ltd
00131.HK	Cheuk Nang (Holdings) Ltd
00132.HK	China Investments Holdings Ltd
00133.HK	China Merchants China Direct Investments Ltd
00135.HK	Kunlun Energy
00136.HK	Mascotte Holdings Ltd
00137.HK	Jinhui Holdings Co. Ltd
00138.HK	CCT Telecom Holdings Ltd
00139.HK	139 Holdings Ltd
00141.HK	Great China Holdings Ltd
00142.HK	First Pacific Co. Ltd
00143.HK	Global Tech (Holdings) Ltd
00144.HK	China Merchants Holdings (International) Co. Ltd
00145.HK	Hong Kong Building and Loan Agency Ltd
00146.HK	Tai Ping Carpets International Ltd
00147.HK	Graneagle Holdings Ltd
00148.HK	Kingboard Chemical Holdings Ltd
00149.HK	China Velocity Group Ltd
00151.HK	Want Want China Holdings Ltd
00152.HK	Shenzhen International Holdings Ltd
00153.HK	QPL International Holdings Ltd Warrants 2007
00154.HK	Beijing Development (Hong Kong) Ltd
00155.HK	China Solar Energy Holdings Ltd
00156.HK	Lippo China Resources Ltd
00157.HK	Natural Beauty Bio-Technology Ltd
00158.HK	Melbourne Enterprises Ltd
00159.HK	Wah Nam International Holdings Ltd
00160.HK	Hon Kwok Land Investment Co. Ltd
00161.HK	CATIC Shenzhen Holdings Ltd
