Symbol	Description
00761.HK	Peking Apparel International Group Ltd
00762.HK	China Unicom Ltd
00763.HK	ZTE Corporation
00764.HK	Eternity Investment Limited
00765.HK	Perfectech International Holdings Ltd
00766.HK	Sino Prosper Holdings Ltd
00767.HK	Pacific Plywood Holdings Ltd
00768.HK	UBA Investments Ltd
00769.HK	China Rare Earth Holdings Ltd
00770.HK	Shanghai Growth
00771.HK	Automated Systems Holdings Ltd
00772.HK	
00775.HK	CK Life Sciences Int (Holdings) Inc
00776.HK	JF Household Furnishings
00777.HK	NetDragon Websoft Inc
00778.HK	Fortune REIT
00784.HK	
00787.HK	
00789.HK	Artini China Company Ltd
00794.HK	Come Sure Group
00798.HK	
00799.HK	
00800.HK	A8 Digital Music Holdings Ltd
00801.HK	Golden Meditech Company Ltd
00802.HK	RCG
00803.HK	Prosperity International Holdings Ltd
00804.HK	Pinestone
00805.HK	
00806.HK	Value Partners Group Ltd
00808.HK	Prosperity Real Estate Investment Trust
00809.HK	Global Bio-chem Technology Group Co. Ltd
00810.HK	China Treasure (Greater China) Investments Ltd
00811.HK	Xinhua Winshare
00812.HK	Tanrich Financial Holdings Ltd
00813.HK	Shimao Property Holdings Ltd
00814.HK	Beijing Jingkelong Co Ltd
00815.HK	Chi Group
00816.HK	Huadian Fuxin Energy Corp
00817.HK	Franshion Properties
00818.HK	Hi Sun Technology (China) Ltd
00819.HK	Tianneng Power International Ltd
00820.HK	HSBC Dragon Fund
00821.HK	Barclays Asian Selection F Ltd H K Fund
00822.HK	Barclays Asian Selection F Ltd Indo Fund
00823.HK	The Link Real Estate Investment Trust
00825.HK	Barclays Asian Selection F Ltd Phil Fund
00826.HK	Tiangong International Company
00827.HK	Barclays Asian Selection F Ltd Se Asia F
00828.HK	Dynasty Fine Wines Group Ltd
00829.HK	Shenguan Holdings Group Ltd
00830.HK	
00831.HK	
00832.HK	korea 1990 Trust The-beneficial Cert.
00833.HK	Alltronics Holdings Ltd
00834.HK	China Kangda Food Company Limited
00835.HK	Nubrands Group Holdings Ltd
00836.HK	China Resources Power Holdings Co. Ltd
00837.HK	China Pharmaceutical Ent & Inv Corp W0110
00838.HK	EVA Precision Industrial Holdings Ltd
00839.HK	
00840.HK	Xinjiang Tianye Water Saving Irrigation System Company Ltd
00841.HK	Asia Cassava Resources Holdings Ltd
00842.HK	
00844.HK	
00845.HK	Artfield Group W0403
00846.HK	Mingfa Group Co Ltd
00847.HK	
00848.HK	Prc-6.125% Notes 100 Due 2003
00850.HK	Wing Shing International Holdings Ltd
00851.HK	MAE Holdings Ltd
00852.HK	Good Fellow Group W0112
00853.HK	Global Tech (holdings) W0408
00854.HK	Willas Array
00855.HK	China Water Affairs Group Ltd
00856.HK	VST Holdings Ltd
00857.HK	PetroChina Co. Ltd
00858.HK	Extrawell Pharmaceutical Holdings Ltd
00859.HK	Henry Group Holdings Ltd
00860.HK	Ming Fung Jewellery Group Ltd
00861.HK	Digital China Holdings Ltd
00862.HK	New World Mobile Holdings Ltd
00863.HK	
00864.HK	
00865.HK	First Mobile Group Holdings Limited
00866.HK	SUNDAY Communications Ltd
00867.HK	Thornton Tiger Fund
00868.HK	Xinyi Glass Holdings Ltd
00869.HK	Playmates Toys Ltd
00871.HK	
00872.HK	Cable & Wireless Plc-us$1000 Bond 2003
00873.HK	
00874.HK	Guangzhou Pharmaceutical Co. Ltd
00875.HK	Corasia Group
00876.HK	Wing Lee Holdings Ltd
00877.HK	Asian Development Bank 6.125% Bonds 2004
00878.HK	Soundwill Holdings Ltd
00880.HK	SJM Holdings Ltd
00881.HK	Jf Japan Otc Fund Inc.
00882.HK	Tianjin Development Holdings Ltd
00883.HK	CNOOC Ltd
00884.HK	Cifi Hold
00885.HK	Forefront International Holdings Ltd
00886.HK	Silver Base Group Holdings Ltd
00887.HK	Cable & Wireless Plc-us$10000 Bond 2003
00888.HK	RoadShow Holdings Ltd
00889.HK	Datronix Holdings Ltd
00891.HK	Trinity Ltd
00893.HK	China Vanadium Titano-Magnetite Mining Co Ltd
00894.HK	Man Yue International Holdings Ltd
00895.HK	Dongjiang Environment
00896.HK	Hanison Construction Holdings Ltd
00897.HK	Wai Yuen Tong Medicine Holdings Ltd
00898.HK	Multifield International Holdings Ltd
00899.HK	Asia Resources Holdings Ltd
00900.HK	Aeon Credit Service (Asia) Co. Ltd
00901.HK	Eagleride Inv
00902.HK	Huaneng Power International Inc
00903.HK	TPV Technology Ltd
00904.HK	China Green (Holdings) Ltd
00905.HK	Apex Capital Ltd
00906.HK	CPMC Holdings Ltd
00907.HK	Elegance International Holdings Ltd
00908.HK	Jiuzhou Development Co. Ltd
00909.HK	Zhongda International Holdings Ltd
00910.HK	Good Fellow Group Ltd
00911.HK	Hangfat Ginseng
00912.HK	Suga International Holdings Ltd
00913.HK	Unity Inv Hold
00914.HK	Anhui Conch Cement Co. Ltd
00915.HK	Linmark Group Ltd
00916.HK	China Longyuan Power
00918.HK	Takson Holdings Ltd
00919.HK	Modern Beauty Salon Holdings Ltd
00921.HK	Hisense Kelon
00922.HK	Vision Tech International Holdings Ltd
00923.HK	Integrated Waste Solutions
00925.HK	Peaktop International Holdings Ltd
00926.HK	Egana Jewellery & Pearls Ltd
00927.HK	Fujikon Industrial Holdings Ltd
00928.HK	Tack Fat Group International Ltd
00929.HK	IPE Group Ltd
00931.HK	Artel Solutions Group Holdings Ltd
00932.HK	RM Group
00933.HK	First Sign International Holdings Ltd
00934.HK	Sinopec Kantons Holdings Ltd
00935.HK	
00936.HK	Eagle Legend Asia Limited
00938.HK	Man Sang International Ltd
00939.HK	China Construction Bank Corporation
00940.HK	
00941.HK	China Mobile Ltd
00943.HK	eForce Holdings Ltd
00945.HK	Manulife Financial Corporation
00947.HK	Province Of Ontario-7 1/4% N2005-100
00948.HK	Province Of Ontario-7 1/4% N2005-1000
00950.HK	
00951.HK	
00952.HK	Quam Ltd
00953.HK	Meike Ltd
00954.HK	
00956.HK	Baden-wurttemberg L-finance Nv 1000b2003
00958.HK	Huaneng Renewables Ltd
00959.HK	A-Max Holdings Ltd
00960.HK	Longfor Properties Co Ltd
00966.HK	China Taiping
00967.HK	Citc Seoul Access Trust
00968.HK	Xinyi Solar Holdings
00969.HK	Hua Lien International (Holding) Co. Ltd
00970.HK	Jade Dynasty Group Ltd
00973.HK	Province Of Ontario 61/4% Dm100000 N2004
00974.HK	SKL
00975.HK	Hk & Shanghai Banking Corp Hk$1000000n03
00976.HK	Chiho-Tiande Group Ltd
00978.HK	Tonic Industries Holdings Ltd
00979.HK	Green Energy Group Ltd
00980.HK	Lianhua Supermarket Holdings Co. Ltd
00981.HK	Semiconductor Manufacturing International Corporation
00982.HK	iOne Holdings Ltd
00983.HK	Shui On Construction and Materials Ltd
00984.HK	AEON Stores (Hong Kong) Co. Ltd
00985.HK	China Sci-Tech Holdings Ltd
00986.HK	Nam Hing Holdings Ltd
00987.HK	J.I.C. Technology Co. Ltd
00988.HK	Sun's Group Ltd
00989.HK	Ground Properties Company
00990.HK	Theme International Holdings Ltd
00991.HK	Datang International Power Generation Co. Ltd
00992.HK	Lenovo Group Ltd
00993.HK	Simsen International Corporation Ltd
00994.HK	Win Win Way Construction Holdings
00995.HK	Anhui Expressway Co. Ltd
00996.HK	CASH Retail Management Group Ltd
00997.HK	Decca Holdings Ltd
00998.HK	China CITIC Bank Corp Ltd
00999.HK	I.T Ltd
01000.HK	Beijing Media Corporation Ltd
01001.HK	Van Shung Chong Holdings Ltd
01002.HK	V.S. International Group Ltd
01003.HK	GFT Holdings Ltd
01004.HK	Rising Development Holdings Limited
01005.HK	Matrix Holdings Ltd
01006.HK	China Corn Oil
01007.HK	People's Republic Of China 6 1/2% B2004
01008.HK	Brilliant CIR
01009.HK	
01010.HK	PacMOS Technologies Holdings Ltd
01011.HK	Regal Hotels International Holdings Ltd Warrants 2007
01013.HK	Plus Holdings Ltd
01019.HK	
01020.HK	
01021.HK	
01022.HK	
01023.HK	
01026.HK	
01027.HK	Jicheng Umbrella Holdings Ltd
01028.HK	
01029.HK	
01030.HK	Future Land Holdings
01031.HK	Golden Resorts Group Ltd
01033.HK	Sinopec Yizheng Chemical Fibre Co. Ltd
01035.HK	
01036.HK	Winsor Properties Holdings Ltd
01037.HK	Daiwa Associate Holdings Ltd
01038.HK	Cheung Kong Infrastructure Holdings Ltd
01039.HK	
01041.HK	Fulbond Holdings Ltd
01043.HK	Coslight Technology International Group Ltd
01044.HK	Hengan International Group Co. Ltd
01045.HK	APT Satellite Holdings Ltd
01046.HK	Universe International Holdings Ltd
01047.HK	Ngai Hing Hong Co. Ltd
01048.HK	Novo Group Limited
01049.HK	Celestial Asia Securities Holdings Ltd
01050.HK	Karrie International Holdings Ltd
01051.HK	Smart Rich Energy Finance (Holdings) Ltd
01052.HK	Yuexiu Transport Infrastructure
01053.HK	Chongqing Iron & Steel Co. Ltd
01055.HK	China Southern Airlines Co. Ltd
01057.HK	Zhejiang Shibao Company
01058.HK	Guangdong Tannery Ltd
01059.HK	Kantone Holdings Ltd
01060.HK	Shanghai Allied Cement Ltd
01061.HK	Hinet Holdings W0302
01062.HK	New Capital International Investment Ltd
01063.HK	SunCorp Technologies Ltd
01064.HK	Zhong Hua International Holdings Ltd
01065.HK	Tianjin Capital Environmental Protection Co. Ltd
01066.HK	Weigao Group
01068.HK	China Yurun Food Group Ltd
01069.HK	
01070.HK	TCL Multimedia Technology Holdings Ltd
01071.HK	Huadian Power International Corporation Ltd
01072.HK	Dongfang Electrical Machinery Co. Ltd
01073.HK	China Agrotech Holdings Ltd
01075.HK	Capinfo
01076.HK	First Natural Foods Holdings Ltd
01079.HK	
01080.HK	Shengli Pipe
01082.HK	
01083.HK	Panva Gas Holdings Ltd
01085.HK	Hengxin Technology Ltd
01086.HK	Goodbaby International Holding
01087.HK	
01088.HK	China Shenhua Energy Co. Ltd
01089.HK	
01090.HK	
01091.HK	CITIC DAMENG
01093.HK	China Pharmaceutical Group Ltd
01094.HK	Sunny Global Holdings Ltd
01096.HK	
01097.HK	i-CABLE Communications Ltd
01098.HK	Road King Infrastructure Ltd
01099.HK	Sinopharm Group Co Ltd
01100.HK	Mainland Headwear Holdings Ltd
01101.HK	China Rongsheng Heavy Industries Group Ltd
01102.HK	
01103.HK	Shanghai Tonva
01104.HK	Shanghai Merchants Holdings Ltd
01105.HK	Sing Tao News Corporation Ltd
01106.HK	
01107.HK	
01108.HK	Luoyang Glass Co Ltd
01109.HK	China Resources Land Ltd
01110.HK	China National Aviation Co. Ltd.
01111.HK	Chong Hing Bank Limited
01112.HK	
01113.HK	
01114.HK	Brilliance China Automotive Holdings Ltd
01115.HK	Tibet 5100 Water Resources Holdings Ltd
01116.HK	Mayer Holdings Ltd
01117.HK	China Modern Dairy Holdings
01118.HK	Golik Holdings Ltd
01120.HK	Arts Optical International Holdings Ltd
01121.HK	BAOFENGMODERN
01122.HK	Qingling Motors Co. Ltd
01123.HK	China-Hongkong Photo Products Holdings Ltd
01124.HK	Coastal Greenland Ltd
01125.HK	Lai Fung Holdings Ltd
01126.HK	Dream International Ltd
01127.HK	
01128.HK	Wynn Macau Ltd
01129.HK	Sky Hawk Computer Group Holdings Ltd
01130.HK	Benefun International Holdings Ltd
01131.HK	Kwong Hing International Holdings (Bermuda) Ltd
01132.HK	Golden Harvest Entertainment (Holdings) Ltd
01133.HK	Harbin Power Equipment Co. Ltd
01135.HK	Asia Satellite Telecommunications Holdings Ltd
01137.HK	City Telecom (H.K.) Ltd
01138.HK	China Shipping Development Co. Ltd
01139.HK	Victory Group
01140.HK	Concepta Investments Ltd
01141.HK	Xin Corporation Ltd
01142.HK	Rontex International Holdings Ltd
01143.HK	
01145.HK	
01146.HK	
01148.HK	
01149.HK	Broad Intelligence Int'l Pharmaceutical Holdings Ltd
01150.HK	Milan Station Ltd
01151.HK	
01152.HK	
01155.HK	Centron Telecom
01157.HK	Zoomlion
01159.HK	Karce International Holdings Co. Ltd
01160.HK	Grand Investment International Ltd
01161.HK	Water Oasis Group Ltd
01164.HK	Vital BioTech Holdings Ltd
01165.HK	
01166.HK	Solartech International Holdings Ltd
01168.HK	Sinolink Worldwide Holdings Ltd
01169.HK	Haier Electronics Group Co. Ltd
01170.HK	Kingmaker Footwear Holdings Ltd
01171.HK	Yanzhou Coal Mining Co. Ltd
01172.HK	Midas International Holdings Ltd
01173.HK	Veeko International Holdings Ltd
01174.HK	Pacific Andes International Holdings Ltd
01175.HK	FU JI Food and Catering Services Holdings Ltd
01176.HK	Nam Fong International Holdings Ltd
01177.HK	Sino Biopharmaceutical Ltd
01178.HK	Vitop Bioenergy Holdings Ltd
01180.HK	LifeTec Group Ltd
01181.HK	
01182.HK	Foundation Group Ltd
01184.HK	S.A.S. Dragon Holdings Ltd
01185.HK	China Energine
01186.HK	Value Partners China Greenchip Fund Ltd
01187.HK	Pearl River Tyre (Holdings) Ltd
01188.HK	Hybrid Kinetic Group Limited
01189.HK	Wing On Travel (Holdings) Ltd
01190.HK	Bakers Group International Holding Ltd
01191.HK	Yueshou Environmental Holdings
01192.HK	Titan Petrochemicals Group Ltd
01193.HK	China Resources Gas
01194.HK	China Precious Metal Resources
01195.HK	Sinotronics Holdings Ltd
01196.HK	Cheong Ming Investments Ltd
01197.HK	China Hengshi Foundation
01198.HK	Chitaly Holdings Ltd
01199.HK	COSCO Pacific Ltd
01200.HK	Midland Holdings Ltd
01201.HK	Kith Holdings Ltd
01202.HK	Chengdu PUTIAN Telecommunications Cable Co. Ltd
01203.HK	Guangnan (Holdings) Ltd
01205.HK	CITIC Resources Holdings Ltd
01206.HK	
01207.HK	SRE Group Limited
01208.HK	Minmetals Resources Ltd
01210.HK	
01211.HK	BYD Co. Ltd
01212.HK	Lifestyle International Holdings Ltd
01213.HK	Mobicon Group Ltd
01215.HK	Guo Xin Group Ltd
01216.HK	
01217.HK	Sino Technology Investments Co. Ltd
01218.HK	Easyknit International Holdings Ltd
01219.HK	
01220.HK	Ocean Grand Holdings
01221.HK	Sino Hotels (Holdings) Ltd
01222.HK	Wang On Group Ltd
01223.HK	Symphony Holdings Ltd
01224.HK	C C Land Holdings
01225.HK	Lerado Group (Holding) Co. Ltd
01226.HK	Garron International Ltd
01227.HK	China Financial Industry Investment Fund Ltd
01228.HK	Tak Shun Technology Group Ltd
01229.HK	Artfield Group Ltd
01230.HK	
01231.HK	Deutsche Bank AG - Nikkei 225 Index European Wts Jun 2007 A
01232.HK	
01233.HK	
01234.HK	China Lilang Ltd
01235.HK	Deutsche Bank AG - Nikkei 225 Index Euro Put Wts Jun 2007 B
01236.HK	Qianlong Technology International
01237.HK	Merry Garden Ltd
01238.HK	Powerlong Real Estate Holdings Ltd
01239.HK	
01240.HK	Sunley Holdings Ltd
01241.HK	
01243.HK	Wang On PPT
01245.HK	UBS AG - Esprit European Warrants Sep 2007
01246.HK	UBS AG - HSBC European Put Warrants Apr 2007
01247.HK	UBS AG - Jiangxi Copper European Warrants Dec 2007
01249.HK	
01250.HK	Jin Cai Holdings Co Ltd
01251.HK	
01252.HK	Goldman Sachs SP (Asia) - Foxconn European Wts Mar 2007 A
01253.HK	Broad Greenstate International Company Limited
01255.HK	
01257.HK	
01258.HK	China Nonferrous Mining
01259.HK	Prince Frog International
01260.HK	J P Morgan Int'l Der. Ltd. - Foxconn European Wts Mar 2007
01262.HK	Chine Lifestyle Food & Beverage
01263.HK	SGA Societe Generale Acceptance N.V. - BOCHK Eu Wts Mar 07 B
01265.HK	
01266.HK	
01268.HK	SGA Societe Generale Acceptance N.V. - N225 Euro Wts Mar 07C
01269.HK	Macquarie Bank Ltd. - BOCHK European Warrants May 2007
01270.HK	
01271.HK	SGA Societe Generale Acceptance N.V. - N225 Eu Put Wt Mar07E
01272.HK	Macquarie Bank Ltd. - CHALCO European Warrants May 2007
01273.HK	Macquarie Bank Ltd. - Jiangxi Copper European Wts May 2007
01275.HK	BNP Paribas Arbit Issu B.V. - BOCHK European Wts Mar 2007
01277.HK	BNP Paribas Arbit Issu B.V. - HSBC European Wts Apr 2007
01278.HK	
01280.HK	SGA Societe Generale Acceptance N.V. - CHALCO Eur Wt Apr 07B
01281.HK	SGA Societe Generale Acceptance N.V. - CK(H) Euro Wts Mar 07
01282.HK	
01285.HK	
01288.HK	Agricultural Bank of China Ltd
01289.HK	Wuxi Sunlit Science Limited
01290.HK	
01292.HK	
01293.HK	Baoxin Auto Group Limited
01296.HK	
01297.HK	SGA Societe Generale Acceptance N.V. - CP&CC Euro Wts Mar 07
01298.HK	Techcomp (Holdings)
01299.HK	SGA Societe Generale Acceptance N.V. - HSI Euro Wts Mar 07 B
01300.HK	SGA Societe Generale Acceptance N.V. - HSBC Eur Wts Apr 2008
01301.HK	HK Bank - HKEx European Warrants Mar 2007
01302.HK	Lifetech Scientific Corporation
01303.HK	
01305.HK	
01308.HK	Deutsche Bank AG - China Mobile European Warrants Mar 2007
01310.HK	
01312.HK	
01313.HK	China Resources Cement Holdings Ltd
01314.HK	Tsui Wah Holding
01315.HK	
01316.HK	Nexteer
01317.HK	China Maple Leaf Educational Systems Limited
01318.HK	J P Morgan Int'l Der. Ltd. - HS Bank European Wts Mar 2007
01319.HK	J P Morgan Int'l Der. Ltd. - JX Copper European Wts Mar 2007
01321.HK	J P Morgan Int'l Der. Ltd. - PICC P&C European Wts Mar 2007
01322.HK	J P Morgan Int'l Der. Ltd. - Sh Petrochem Euro Wts Mar 2007
01323.HK	
01326.HK	Pegasus Ent
01327.HK	Time2u International Holding Limited
01328.HK	International Elite Ltd
01329.HK	
01330.HK	SGA Societe Generale Acceptance N.V. - HSBC Eur Wts Apr 07 A
01332.HK	Qualipak International
01333.HK	BOCI Asia Ltd. - CNOOC European Warrants Jun 2007
01335.HK	BOCI Asia Ltd. - Kingboard European Warrants Jun 2007
01336.HK	New China Life Insurance Company
01337.HK	
01338.HK	Macquarie Bank Ltd. - HSBC European Put Warrants Mar 2007
01339.HK	Fortis Bank S.A./N.V. - Bank of EA European Wts Jul 2007
01340.HK	Fortis Bank S.A./N.V. - China Mobile European Wts Sep 2007
01341.HK	Clear Lift
01345.HK	
01347.HK	
01348.HK	
01349.HK	
01350.HK	Goldman Sachs SP (Asia) - Foxconn European Put Wts Mar 2007
01353.HK	
01355.HK	Macquarie Bank Ltd. - Zijin Mining European Wts Apr 2007
01357.HK	Citigroup Global Mkt H Inc. - HSBC European Wts Mar 2007
01358.HK	Citigroup Global Mkt H Inc. - HSBC European Wts Apr 2007 B
01359.HK	China Cinda
01360.HK	
01361.HK	SGA Societe Generale Acceptance N.V. - PetCh Eur Wts Apr 08
01362.HK	SiS Mobile Holdings Limited
01363.HK	CTEG
01365.HK	
01366.HK	Jiangnan Group Ltd
01367.HK	Hanbo Enterprises Holdings Limited
01368.HK	Xtep International Holdings Ltd
01369.HK	
01370.HK	Calyon Fin P (G) Ltd. - Agile Ppt European Warrants Mar 2007
01371.HK	China Lotsyn
01372.HK	Citigroup Global Mkt H Inc. - Ch Mobile Eur Put Wts Apr 2007
01373.HK	Calyon Fin P (G) Ltd. - Zijin Mining European Wts Mar 2007
01375.HK	Central China Securities
01378.HK	China Hong Gqiao
01380.HK	SGA Societe Generale Acceptance N.V. - SHK Ppt Eu Wt Apr 07A
01381.HK	
01382.HK	Pacific Textiles Holdings Ltd
01383.HK	Hong Long Holdings Ltd
01385.HK	
01386.HK	Walker Group Holdings Ltd
01387.HK	Renhe Commercial Holdings
01388.HK	Embry Holdings Ltd
01389.HK	Major Holding
01393.HK	Hidili Industry International Devt Ltd
01395.HK	Ell Env
01396.HK	Hydoo International
01397.HK	Baguio Green
01398.HK	Industrial and Commercial Bank of China Ltd
01399.HK	Scud Group Ltd
01400.HK	Wang Tai Holdings
01415.HK	Cowell e Holdings Inc
01417.HK	
01418.HK	
01419.HK	Human Health
01420.HK	Chuan Holdings Limited
01421.HK	King Bostrike
01426.HK	
01428.HK	
01430.HK	Sushuang Gas
01431.HK	
01432.HK	
01437.HK	
01439.HK	
01443.HK	
01446.HK	
01447.HK	SFK Construction Holdings
01448.HK	
01450.HK	
01452.HK	Denox Environmental & Technology Holdings
01456.HK	
01458.HK	
01459.HK	Jujiang Cons
01460.HK	
01461.HK	
01462.HK	Nga Chun Holdings Company
01466.HK	Man Sang Jewellery Holdings
01468.HK	
01469.HK	Get Nice Finance Company Limited
01470.HK	Tic Tac
01475.HK	
01476.HK	
01478.HK	
01480.HK	Yan Tat Group
01482.HK	
01483.HK	
01486.HK	C Cheng Holdings Limited
01487.HK	
01488.HK	
01492.HK	China ZhongDi Dairy Holdings Company
01495.HK	Jiyi Household International Holdings
01496.HK	AP Rentals Holdings Limited
01498.HK	
01499.HK	Leap Holdings Group
01500.HK	
01508.HK	China Reinsurance (Group) Corporation
01509.HK	
01513.HK	
01515.HK	Phoenix Health
01518.HK	
01520.HK	Runaway Global
01522.HK	
01523.HK	
01526.HK	
01527.HK	Zhejiang Tengy Environmental Technology
01528.HK	
01530.HK	
01532.HK	China Partytime Culture Holdings
01533.HK	
01536.HK	
01537.HK	
01538.HK	Zhong Ao Home Group
01539.HK	Synergy Group
01543.HK	
01546.HK	
01547.HK	
01548.HK	Genscript Biotech Corporation
01549.HK	Ever Harvest Group Holdings
01551.HK	
01552.HK	
01555.HK	MIE Holdings Corporation
01556.HK	Chinney Kin Wing Holdings
01557.HK	KH GP Holdings
01558.HK	YiChang HEC ChangJiang Pharmaceutical
01559.HK	Kwan On Holdings
01560.HK	
01561.HK	Manfield Chem
01565.HK	Virscend Education Company Limited
01566.HK	China Animation Characters Company
01568.HK	Sundart Holdings Limited
01569.HK	Minsheng EDU
01570.HK	Weiye Holdings Limited
01571.HK	Xin Point Hold
01572.HK	China Art Fin
01573.HK	China Unienergy Group Ltd
01575.HK	Morris Holdings Limited
01577.HK	
01578.HK	
01579.HK	
01580.HK	Da Sen Holdings Group
01581.HK	Progressive Path Group
01583.HK	
01585.HK	
01586.HK	China Leon
01588.HK	
01589.HK	China Logistics Property Holdings
01590.HK	
01591.HK	Shun Wo Group Holdings
01596.HK	
01599.HK	
01600.HK	
01606.HK	
01608.HK	Vpower Group
01609.HK	
01610.HK	COFCO Meat Holdings Limited
01611.HK	Pantronics Holdings
01612.HK	Vincent Med
01613.HK	
01616.HK	Silverman Holdings Ltd
01617.HK	Nanfang Communication Holdings Limited
01618.HK	MCC
01619.HK	Tianhe Chemicals Group Limited
01622.HK	
01623.HK	
01626.HK	
01627.HK	Able Engineering Holdings Limited
01628.HK	Ford Motor Credit Company 10 N0201
01629.HK	MENGKE Holdings
01630.HK	Kin Shing Holdings
01631.HK	
01632.HK	Foodwise Holding
01633.HK	Sheung Yue Group Holdings Limited
01635.HK	
01636.HK	CMRU
01637.HK	SH Group Holdings
01638.HK	Kaisa Group
01639.HK	AKM Industrial
01647.HK	Shis Limited
01649.HK	
01651.HK	
01655.HK	
01656.HK	
01658.HK	
01660.HK	Sanroc International
01661.HK	
01662.HK	Yee Hop Holdings Limited
01663.HK	Sino Harbour Property Group Limited
01666.HK	Republic Of Italy 100n0205
01667.HK	Milestone Build
01668.HK	China South City Holdings Ltd
01669.HK	
01673.HK	
01676.HK	
01677.HK	
01678.HK	
01679.HK	Risecomm Group Holdings
01680.HK	
01681.HK	
01682.HK	Highlight China IoT International Ltd
01683.HK	LC Group Holdings Limited
01685.HK	Boer Power Holdings Ltd
01689.HK	
01693.HK	
01695.HK	
01696.HK	
01697.HK	
01698.HK	Toyota Motor Credit Corporation 100 N0305
01699.HK	China Putian Food Ltd
01700.HK	
01702.HK	Dongguang Chemical Limited
01706.HK	
01707.HK	Geotech Holdings Limited
01708.HK	
01709.HK	
01710.HK	
01717.HK	Ausnutria
01718.HK	Wan Kei Group Holdings
01720.HK	
01722.HK	
01727.HK	
01728.HK	Zhentong Auto Services Holding
01730.HK	
01733.HK	Winsway
01738.HK	
01766.HK	CSR Corporation Limited
01771.HK	
01776.HK	GF Sec
01777.HK	Fantasia Holdings Group Co Ltd
01778.HK	Colour Life Services Group
01786.HK	CRCC High-Tech Equipment
01788.HK	
01789.HK	
01798.HK	Datang Corp Renewable Power
01799.HK	
01800.HK	China Communications Construction Co Ltd
01803.HK	
01808.HK	Tai-I International Holdings Ltd
01811.HK	CGN Meiya Power Holdings
01812.HK	CHENMING PAPER
01813.HK	KWG Property Holding Ltd
01816.HK	
01818.HK	Zhaojin Mining Industry Co. Ltd
01819.HK	
01822.HK	
01823.HK	Huayu Expressway
01826.HK	
01828.HK	Dah Chong Hong Holding Ltd
01829.HK	CMEC
01830.HK	
01831.HK	
01836.HK	Stella International Holdings Ltd
01838.HK	China Properties Group Ltd
01848.HK	China Aircraft Leasing Group
01856.HK	Ernest Borel Holdings Limited
01858.HK	
01862.HK	Sino Gold Mining
01863.HK	Sijia Group Co Ltd
01866.HK	Neo-Neon Holdings Ltd
01868.HK	Neo-Neon Holdings Ltd
01878.HK	SouthGobi Energy Resources
01881.HK	Regal Real Estate Investment Trust
01882.HK	Haitian International Holdings Ltd
01883.HK	Citic Telecom International Holdings
01884.HK	Eprint Group
01885.HK	
01886.HK	China Huiyuan Juice Group Ltd
01888.HK	Kingboard Laminates Holdings Ltd
01889.HK	Wuyi International Pharmaceutical Co. Ltd
01893.HK	China National Materials Company Ltd
01898.HK	China Coal Energy Co. Ltd
01899.HK	Xingda International Holdings Ltd
01900.HK	China ITS (Holdings) Co Ltd
01908.HK	South West Eco Development
01910.HK	Samsonite International SA
01913.HK	Prada SPA
01918.HK	
01919.HK	China COSCO Holdings Co. Ltd
01928.HK	Sands China Ltd
01929.HK	Chow Tai Fook
01932.HK	CPM Group Limited
01938.HK	Chu Kong Pipe
01958.HK	
01962.HK	
01963.HK	
01966.HK	China SCE PPT
01970.HK	IMAX China Holding
01972.HK	Swire Properties Ltd
01975.HK	
01979.HK	
01980.HK	
01982.HK	
01985.HK	
01986.HK	Tsaker Chemical Group Ltd
01988.HK	Minsheng Bank Corp
01989.HK	Pine Care Group Limited
01991.HK	TA Yang Group Holdings Ltd
01993.HK	Asiaray Media Group Limited
01997.HK	
01998.HK	Flyke International Holdings Ltd
01999.HK	Man Wah Holdings Limited
02000.HK	SIM Technology Group Ltd
02001.HK	
02002.HK	China Sunshine Paper Holdings Company Ltd
02005.HK	Lijun International Pharmaceutical (Holding) Co. Ltd
02006.HK	Shanghai Jin Jiang Int'l Hotels (Group) Co. Ltd
02007.HK	Country Garden Holdings Company Ltd
02008.HK	Phoenix Satellite Television Holdings
02009.HK	BBMG Corp
02010.HK	RUINIAN
02011.HK	Kee
02012.HK	
02014.HK	Ozner Water International
02016.HK	
02017.HK	Chanhigh Holdings
02018.HK	AAC Acoustic Technologies Holdings Inc.
02020.HK	Anta Sports
02022.HK	
02023.HK	
02025.HK	
02028.HK	Jolimark
02030.HK	
02031.HK	
02033.HK	
02038.HK	Foxconn International Holdings Ltd
02039.HK	CIMC
02066.HK	
02068.HK	China Aluminum Intl
02078.HK	
02080.HK	
02083.HK	
02086.HK	Advanced Card
02088.HK	Xiwang Sugar Holdings Co. Ltd
02098.HK	
02099.HK	
02100.HK	Baioo
02111.HK	Best Pacific International Holdings
02112.HK	
02113.HK	
02118.HK	Credit Suisse - BOC HK Euro (AR) Wts Jan 2007
02120.HK	SGA Societe Generale Acceptance N.V. - N225 Eu Put Wt Jun07B
02121.HK	
02122.HK	ABN AMRO Bank N.V. - China Telecom European Wts Oct 2006
02123.HK	
02128.HK	ABN AMRO Bank N.V. - CC Bank European Warrants Sep 2006 B
02133.HK	China Polymetallic Mining
02136.HK	Lifestyle China Group Limited
02138.HK	Union Medical Healthcare Limited
02166.HK	
02178.HK	Macquarie Bank Ltd. - China Life European Wts Mar 2007 B
02183.HK	Lifestyle PPT
